id,network_code,station_code,location_code,channels,latitude,longitude,elevation
BK.PINL.00,BK,PINL,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.01,-122.36602,13.9
BK.PWOD.00,BK,PWOD,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.58075,-122.70187,438.1
BK.RB2B.40,BK,RB2B,40,"BN1,BN3",37.93335,-122.403137,-18.0
BK.ROMB.00,BK,ROMB,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.58891,-122.03158,149.1
BK.SKGS.00,BK,SKGS,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.688996,-123.078424,640.4
BK.SKGS.S0,BK,SKGS,S0,"HNE,HNN,HNZ",38.688996,-123.078424,640.4
BK.WENL.00,BK,WENL,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.622108,-121.756973,138.9
BK.YBH.,BK,YBH,,"BH1,BH2,BH3,BHE,BHN,BHZ,BLE,BLN,BLZ,HH1,HH2,HH3,HHE,HHN,HHZ,HLE,HLN,HLZ",41.73204,-122.710388,1059.7
NC.AOH.,NC,AOH,,EHZ,39.376266,-121.257668,410.0
NC.BCC.01,NC,BCC,01,"EHZ,HNE,HNN,HNZ",36.5413,-121.74248,244.0
NC.BCGB.20,NC,BCGB,20,"HNE,HNN,HNZ",36.70746,-121.34651,426.0
NC.BCW.,NC,BCW,,EHZ,36.306477,-121.566879,1505.0
NC.BHW.20,NC,BHW,20,"HNE,HNN,HNZ",36.38445,-121.3781,206.0
NC.BJC.02,NC,BJC,02,EHZ,36.547001,-121.392166,173.0
NC.BPE.20,NC,BPE,20,"HNE,HNN,HNZ",36.405915,-121.491651,1354.3
NC.BPI.,NC,BPI,,EHZ,36.490063,-121.169579,301.0
NC.BRV.02,NC,BRV,02,EHZ,36.424683,-121.018967,525.0
NC.BTI.20,NC,BTI,20,"HNE,HNN,HNZ",36.10021,-121.43922,544.0
