id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
AZ.SMER2.30,AZ,SMER2,30,BHZ,33.457699,-117.170799,355.0,2002.233,2004.056
AZ.SMER2.31,AZ,SMER2,31,BHN,33.457699,-117.170799,355.0,2002.233,2004.056
AZ.SMER2.32,AZ,SMER2,32,BHE,33.457699,-117.170799,355.0,2002.233,2004.056
AZ.SMER2.50,AZ,SMER2,50,HHZ,33.457699,-117.170799,355.0,2002.233,2004.056
AZ.SMER2.51,AZ,SMER2,51,HHN,33.457699,-117.170799,355.0,2002.233,2004.056
AZ.SMTC.,AZ,SMTC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",32.944901,-115.799896,100.0,1998.033,2001.151
AZ.SND.,AZ,SND,,"BHE,HH1,HHN,HHZ,HHE,EH2,BH2,BHZ,HH2,BH1,BHN,EH1,EHZ",33.551899,-116.6129,1358.0,1982.274,3000.001
AZ.SOL.,AZ,SOL,,"HHN,BHE,HHZ,HHE,BHZ,BHN",32.841,-117.248001,245.0,1996.040,2017.143
AZ.ST2C.,AZ,ST2C,,"BHN,BHZ,BHE",33.611801,-116.459702,1268.0,2003.295,2005.295
AZ.ST2C.30,AZ,ST2C,30,BHZ,33.611801,-116.459702,1268.0,2003.295,2005.295
AZ.ST2C.31,AZ,ST2C,31,BHN,33.611801,-116.459702,1268.0,2003.295,2005.295
AZ.ST2C.32,AZ,ST2C,32,BHE,33.611801,-116.459702,1268.0,2003.295,2005.295
AZ.STS2.,AZ,STS2,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.6118,-116.4597,1268.0,2002.138,2004.107
AZ.TMSP.,AZ,TMSP,,"HHE,HHN,HHZ",33.619202,-116.680901,2077.0,2013.034,3000.001
AZ.TRIL.,AZ,TRIL,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.6118,-116.4597,1268.0,2002.138,2003.161
AZ.TRO.,AZ,TRO,,"BHE,HHN,HHZ,HHE,EH2,EHE,EHN,BHZ,BHN,EH1,EHZ",33.5234,-116.4257,2628.0,1982.274,3000.001
AZ.WMC.,AZ,WMC,,"BHE,HH1,HHN,HHZ,HHE,EH2,BH2,BHZ,HH2,BH1,BHN,EH1,EHZ",33.5736,-116.6747,1271.0,1983.259,2020.268
AZ.YAQ.,AZ,YAQ,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.166599,-116.353897,430.0,1998.033,2006.295
