id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
UW.BBO.,UW,BBO,,"HHE,HHN,EHZ,HHZ",42.88815,-122.6797,1623.0,1992.161,3000.001
UW.BUO.,UW,BUO,,EHZ,42.278332,-122.246437,1797.0,2001.207,2013.039
UW.HAM.,UW,HAM,,EHZ,42.068981,-121.971107,1999.0,1993.279,2013.039
UW.HOG.,UW,HOG,,EHZ,42.243016,-121.706295,1889.1,1994.020,3000.001
UW.LAB.,UW,LAB,,"EHE,EHN,EHZ",42.267578,-122.06353,1774.0,1993.280,2013.039
UW.LKVW.,UW,LKVW,,EHZ,42.22568,-120.35699,1546.7,2007.122,3000.001
UW.TREE.,UW,TREE,,"HHN,BHE,HHZ,HHE,BHZ,BHN",42.7258,-120.8934,1881.4,2006.212,3000.001
UW.VSP.,UW,VSP,,EHZ,42.34164,-121.949913,1545.0,1993.279,2013.254
