id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
US.ELK.00,US,ELK,00,"HH1,HHZ,BH2,BHZ,HH2,BH1",40.7448,-115.2388,2210.0,1994.006,3000.001
US.ELK.,US,ELK,,"BHN,BHZ,BHE",40.7448,-115.2388,2210.0,1994.006,3000.001
US.MNV.,US,MNV,,"BHN,BHZ,BHE",38.4328,-118.1531,1524.0,1994.356,2006.257
US.TPNV.00,US,TPNV,00,"BH1,BHZ,BH2",36.9488,-116.2495,1600.0,1992.167,3000.001
US.TPNV.,US,TPNV,,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.9488,-116.2495,1600.0,1992.167,3000.001
US.WVOR.00,US,WVOR,00,"BH1,BHZ,BH2",42.4339,-118.6367,1344.0,1994.173,3000.001
US.WVOR.,US,WVOR,,"HHN,BHE,HHZ,HHE,BHZ,BHN",42.4339,-118.6367,1344.0,1994.173,3000.001
