id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
CI.BRA.,CI,BRA,,EHZ,32.97899,-115.54936,-67.0,1988.214,1994.025
CI.BRE.,CI,BRE,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.80776,-117.98116,24.0,2000.056,3000.001
CI.BRG.,CI,BRG,,EHZ,33.17139,-116.1747,205.0,1981.090,1998.016
CI.BRS.,CI,BRS,,EHZ,33.97145,-116.91265,1075.0,1992.183,1994.023
CI.BRT.,CI,BRT,,EHZ,34.61206,-117.96354,757.0,1984.053,1993.038
CI.BSC.,CI,BSC,,EHZ,32.73028,-115.05111,43.0,1975.337,1982.338
CI.BTC.,CI,BTC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.01213,-115.21987,39.0,1999.092,2012.244
CI.BTL.,CI,BTL,,EHZ,34.25698,-117.00521,2527.0,1975.322,3000.001
CI.BTL2.,CI,BTL2,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.256841,-117.00543,2553.1,2023.221,3000.001
CI.BTP.,CI,BTP,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.68224,-118.57398,1702.0,1997.337,3000.001
CI.BUE.,CI,BUE,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",34.612987,-120.196793,110.0,2013.338,3000.001
CI.BVH.,CI,BVH,,EHZ,34.07618,-118.3959,39.0,1997.094,2001.018
CI.CAB.,CI,CAB,,EHZ,34.15573,-118.64093,259.0,1997.094,2000.090
CI.CAC.,CI,CAC,,EHZ,34.13678,-118.12199,230.0,2003.066,3000.001
CI.CAH.,CI,CAH,,EHZ,33.49296,-116.72386,1313.0,1981.109,1990.194
CI.CAL.,CI,CAL,,EHZ,35.10331,-117.94924,690.0,1984.053,1999.045
CI.CALB.,CI,CALB,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.14302,-118.62839,276.0,1994.010,1997.207
CI.CAM.,CI,CAM,,EHZ,34.25451,-119.03419,222.0,1975.325,1982.279
CI.CAP.,CI,CAP,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.38822,-117.19495,285.0,2000.104,2007.298
CI.CAR.,CI,CAR,,"HHN,BHE,HHZ,HHE,BHZ,BHN",35.30819,-119.84583,765.0,2006.097,3000.001
CI.CAV.,CI,CAV,,EHZ,35.05071,-116.34534,558.0,1982.355,1995.273
CI.CBK.,CI,CBK,,EHZ,32.9158,-116.25226,355.0,1984.053,3000.001
CI.CCA.,CI,CCA,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",35.15252,-118.01649,710.0,2002.094,3000.001
CI.CCC.,CI,CCC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",35.52495,-117.36453,670.0,2001.173,3000.001
CI.CCK.,CI,CCK,,"HHN,BHE,HHZ,HHE,BHZ,BHN",35.14978,-118.197,1294.0,2022.294,3000.001
CI.CCM.,CI,CCM,,EHZ,33.42923,-115.46543,440.0,1975.364,1978.009
CI.CCR.,CI,CCR,,"EHE,EHN,EHZ",34.36082,-116.9409,1383.0,1992.343,1995.289
CI.CCT.,CI,CCT,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.896256,-117.414694,301.9,2022.297,3000.001
CI.CDD.,CI,CDD,,"HHN,BHE,HHZ,HHE,BHZ,BHN",32.58395,-114.35617,213.6,2016.263,3000.001
CI.CDM.,CI,CDM,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.36855,-119.341437,166.8,2019.168,3000.001
CI.CDY.,CI,CDY,,EHZ,34.83007,-116.33717,934.0,1992.189,2001.318
CI.CFD.,CI,CFD,,EHZ,34.399268,-119.515762,8.0,2013.338,3000.001
CI.CFL.,CI,CFL,,EHZ,34.33296,-118.02387,1560.0,1977.311,2003.289
CI.CFT.,CI,CFT,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",34.03547,-117.11241,682.0,1975.006,3000.001
CI.CGO.,CI,CGO,,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.5504,-117.80295,2795.0,2001.345,3000.001
CI.CH2.,CI,CH2,,EHZ,33.29624,-115.33693,349.2,1973.170,1992.194
CI.CHF.,CI,CHF,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.33341,-118.02585,1594.0,1998.307,3000.001
CI.CHI.,CI,CHI,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",34.18156,-119.22244,3.0,2013.302,3000.001
CI.CHK.,CI,CHK,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",34.067135,-118.971181,258.0,2017.191,3000.001
CI.CHL.,CI,CHL,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.910841,-117.683682,331.9,2021.106,3000.001
CI.CHM.,CI,CHM,,EHZ,34.55304,-114.57275,919.8,1975.032,1978.026
CI.CHN.,CI,CHN,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.99879,-117.68044,208.0,1999.285,3000.001
CI.CHP.,CI,CHP,,EHZ,34.80833,-119.01167,1590.0,1952.183,1952.325
CI.CHR.,CI,CHR,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.729019,-119.392693,1021.8,2017.172,3000.001
CI.CIA.,CI,CIA,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.401898,-118.415021,477.0,1998.253,3000.001
CI.CIS.,CI,CIS,,EHZ,33.40671,-118.40417,436.0,1971.182,2001.319
CI.CIU.,CI,CIU,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.44577,-118.483,36.5,1997.169,1998.274
CI.CJM.,CI,CJM,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.27117,-117.42448,1616.0,2011.321,3000.001
CI.CJV.,CI,CJV,,EHZ,34.52978,-118.1445,1296.0,1984.053,2013.310
CI.CJV2.,CI,CJV2,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.52978,-118.1445,1296.0,2013.318,3000.001
CI.CKC.,CI,CKC,,EHZ,34.13636,-117.17548,506.0,1975.042,1981.255
CI.CKP.,CI,CKP,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.55507,-114.8904,145.0,2016.321,3000.001
CI.CLC.,CI,CLC,,"BHE,HHN,HHZ,HHE,EHE,EHN,BHZ,BHN,EHZ",35.81574,-117.59751,775.0,1948.190,3000.001
CI.CLI.,CI,CLI,,"EHE,EHN,EHZ",33.14029,-115.52658,-92.0,1976.309,2016.252
CI.CLI2.,CI,CLI2,,EHZ,33.12112,-115.58016,-60.2,2015.267,3000.001
CI.CLM.,CI,CLM,,"EHE,EHN,EHZ",34.09613,-117.72297,317.0,1990.120,1991.098
CI.CLO.,CI,CLO,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",34.22038,-119.00891,48.0,2013.302,3000.001
CI.CLT.,CI,CLT,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.09284,-117.31687,325.0,1999.301,3000.001
CI.CO2.,CI,CO2,,EHZ,33.84524,-115.34351,242.0,1974.334,1999.003
CI.COA.,CI,COA,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",32.86341,-115.12339,36.0,1973.090,3000.001
CI.COK.,CI,COK,,EHZ,32.84946,-115.72788,-50.0,1973.120,2013.093
CI.COK2.,CI,COK2,,EHZ,32.85053,-115.7284,-14.0,2013.044,3000.001
CI.COO.,CI,COO,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.89604,-118.21639,20.9,1996.116,2000.090
CI.COQ.,CI,COQ,,EHZ,33.86054,-117.51049,486.6,1951.088,1981.111
CI.COT.,CI,COT,,EHZ,33.3049,-115.35409,244.0,1973.060,1977.337
CI.COY.,CI,COY,,EHZ,33.36296,-116.31114,218.0,1976.171,1998.016
